cvegeomun,nom_juri,cvegeojuri
"07084",PICHUCALCO,"0705"
"07085",TUXTLA GUTIERREZ,"0701"
"07086",TUXTLA GUTIERREZ,"0701"
"07087",TAPACHULA,"0707"
"07088",PICHUCALCO,"0705"
"07089",TAPACHULA,"0707"
"07090",PICHUCALCO,"0705"
"07091",PICHUCALCO,"0705"
"07092",TUXTLA GUTIERREZ,"0701"
"07093",SAN CRISTÓBAL DE LAS CASAS,"0702"
"07094",SAN CRISTÓBAL DE LAS CASAS,"0702"
"07096",PALENQUE,"0706"
"07097",TONALÁ,"0708"
"07098",TUXTLA GUTIERREZ,"0701"
"07099",COMITÁN,"0703"
"07100",PALENQUE,"0706"
"07101",TUXTLA GUTIERREZ,"0701"
"07102",TAPACHULA,"0707"
"07103",TAPACHULA,"0707"
"07104",COMITÁN,"0703"
"07105",TAPACHULA,"0707"
"07106",TUXTLA GUTIERREZ,"0701"
"07107",VILLAFLORES,"0704"
"07108",VILLAFLORES,"0704"
"07109",PALENQUE,"0706"
"07110",TUXTLA GUTIERREZ,"0701"
"07111",SAN CRISTÓBAL DE LAS CASAS,"0702"
"07112",SAN CRISTÓBAL DE LAS CASAS,"0702"
"07113",SAN CRISTÓBAL DE LAS CASAS,"0702"
"07114",PALENQUE,"0706"
"07115",COMITÁN,"0703"
"07116",PALENQUE,"0706"
"07117",VILLAFLORES,"0704"
"07118",PICHUCALCO,"0705"
"07119",SAN CRISTÓBAL DE LAS CASAS,"0702"
"07120",MOTOZINTLA,"0710"
"07121",PICHUCALCO,"0705"
"07122",VILLAFLORES,"0704"
"07123",TUXTLA GUTIERREZ,"0701"
"07124",TUXTLA GUTIERREZ,"0701"
"08001",JUÁREZ,"0802"
"08002",CHIHUAHUA,"0801"
"08003",PARRAL,"0803"
"08004",CHIHUAHUA,"0801"
"08005",NUEVO CASAS GRANDES,"0805"
"08006",CUAUHTÉMOC,"0804"
"08007",PARRAL,"0803"
"08008",GUACHOCHI,"0810"
"08009",CREEL,"0807"
"08010",NUEVO CASAS GRANDES,"0805"
"08011",CAMARGO,"0806"
"08012",CUAUHTÉMOC,"0804"
"08013",NUEVO CASAS GRANDES,"0805"
"08014",PARRAL,"0803"
"08015",OJINAGA,"0809"
"08016",CAMARGO,"0806"
"08017",CUAUHTÉMOC,"0804"
"08018",CUAUHTÉMOC,"0804"
"08019",PARRAL,"0803"
"08020",CREEL,"0807"
"08021",CHIHUAHUA,"0801"
"08022",CHIHUAHUA,"0801"
"08023",NUEVO CASAS GRANDES,"0805"
"08024",CHIHUAHUA,"0801"
"08025",GÓMEZ FARÍAS,"0811"
"08026",CHIHUAHUA,"0801"
"08027",GUACHOCHI,"0810"
"08028",GUACHOCHI,"0810"
"08029",PARRAL,"0803"
"08030",CREEL,"0807"
"08031",CUAUHTÉMOC,"0804"
"08032",PARRAL,"0803"
"08033",PARRAL,"0803"
"08034",GÓMEZ FARÍAS,"0811"
"08035",NUEVO CASAS GRANDES,"0805"
"08036",PARRAL,"0803"
"08037",JUÁREZ,"0802"
"08038",CHIHUAHUA,"0801"
"08039",PARRAL,"0803"
